="Table 2 Panel C: Constant Sample Analysis"

="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="Unadjusted",="+ Demo",="+ Health",="+ liv75",="Full"

="claim_age_c62",="-0.0663",="-0.133",="-0.125",="-0.231",="-0.227"
="",="(0.130)",="(0.118)",="(0.111)",="(0.128)",="(0.128)"

="female",="",="0.0596",="0.0698",="0.0882",="0.112"
="",="",="(0.114)",="(0.107)",="(0.105)",="(0.104)"

="1.raeduc",="",="0",="0",="0",="0"
="",="",="(.)",="(.)",="(.)",="(.)"

="2.raeduc",="",="-0.217",="-0.459",="-0.356",="-0.414"
="",="",="(0.319)",="(0.280)",="(0.292)",="(0.289)"

="3.raeduc",="",="0.358",="-0.0786",="-0.145",="-0.242"
="",="",="(0.228)",="(0.226)",="(0.235)",="(0.238)"

="4.raeduc",="",="0.391",="0.00309",="-0.0452",="-0.165"
="",="",="(0.225)",="(0.224)",="(0.235)",="(0.238)"

="5.raeduc",="",="0.760***",="0.249",="0.225",="0.0438"
="",="",="(0.229)",="(0.227)",="(0.236)",="(0.245)"

="black",="",="-0.615***",="-0.411**",="-0.332*",="-0.208"
="",="",="(0.159)",="(0.146)",="(0.144)",="(0.155)"

="other_race",="",="-0.415",="-0.211",="-0.154",="-0.0609"
="",="",="(0.318)",="(0.262)",="(0.221)",="(0.220)"

="hispanic",="",="0.845***",="0.909***",="0.755***",="0.771***"
="",="",="(0.225)",="(0.217)",="(0.201)",="(0.197)"

="8.wave",="",="0",="0",="0",="0"
="",="",="(.)",="(.)",="(.)",="(.)"

="9.wave",="",="0.556**",="0.622***",="0.611***",="0.597***"
="",="",="(0.175)",="(0.165)",="(0.161)",="(0.163)"

="10.wave",="",="0.355*",="0.423*",="0.540**",="0.574***"
="",="",="(0.177)",="(0.174)",="(0.165)",="(0.162)"

="11.wave",="",="0.236",="0.215",="0.248",="0.300"
="",="",="(0.206)",="(0.211)",="(0.207)",="(0.203)"

="12.wave",="",="0.669***",="0.674***",="0.744***",="0.777***"
="",="",="(0.157)",="(0.161)",="(0.150)",="(0.154)"

="13.wave",="",="0.533**",="0.492*",="0.595**",="0.608**"
="",="",="(0.197)",="(0.197)",="(0.196)",="(0.195)"

="14.wave",="",="0.392",="0.407",="0.586**",="0.604**"
="",="",="(0.246)",="(0.217)",="(0.204)",="(0.202)"

="15.wave",="",="0.395",="0.397",="0.496*",="0.509*"
="",="",="(0.231)",="(0.225)",="(0.220)",="(0.223)"

="16.wave",="",="0.474",="0.520*",="0.485*",="0.485*"
="",="",="(0.274)",="(0.247)",="(0.239)",="(0.237)"

="shlt",="",="",="-0.355***",="-0.288**",="-0.264**"
="",="",="",="(0.0923)",="(0.0929)",="(0.0937)"

="poor_health",="",="",="-0.571*",="-0.415",="-0.407"
="",="",="",="(0.244)",="(0.228)",="(0.228)"

="conde",="",="",="0.0520",="0.0430",="0.0479"
="",="",="",="(0.0423)",="(0.0420)",="(0.0420)"

="liv75",="",="",="",="0.00714***",="0.00676**"
="",="",="",="",="(0.00215)",="(0.00216)"

="married",="",="",="",="0.521*",="0.373"
="",="",="",="",="(0.256)",="(0.255)"

="widowed",="",="",="",="-0.533",="-0.573"
="",="",="",="",="(0.349)",="(0.346)"

="divorced",="",="",="",="0.0165",="-0.0137"
="",="",="",="",="(0.280)",="(0.270)"

="age",="",="",="",="0.660",="0.758"
="",="",="",="",="(0.921)",="(0.896)"

="age_sq",="",="",="",="-0.00362",="-0.00436"
="",="",="",="",="(0.00665)",="(0.00646)"

="ln_hh_income",="",="",="",="",="0.0863"
="",="",="",="",="",="(0.0751)"

="ihs_hh_assets",="",="",="",="",="0.0281*"
="",="",="",="",="",="(0.0137)"

="_cons",="5.015***",="4.214***",="5.489***",="-22.80",="-27.19"
="",="(0.0752)",="(0.227)",="(0.300)",="(31.69)",="(30.92)"

="N",="984",="984",="984",="984",="984"
="r2_a",="-0.000492",="0.0633",="0.165",="0.225",="0.235"

="Standard errors in parentheses"
="All models estimated on identical N=984 observations"
="Isolates effect of adding controls from sample composition"
="* p<0.05, ** p<0.01, *** p<0.001"
